GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prattle,edu.northeastern.ccs.im.models,User,4,288,0,4,2,99,0,34,0,32
prattle,edu.northeastern.ccs.im.models,Group,0,41,0,0,0,14,0,7,0,7
prattle,edu.northeastern.ccs.im.models,MessageModel,0,184,0,0,0,72,0,24,0,24
prattle,edu.northeastern.ccs.im.models,Membership,0,49,0,0,0,21,0,10,0,10
prattle,edu.northeastern.ccs.db.daos,MembershipDao,28,358,1,17,14,104,1,19,0,11
prattle,edu.northeastern.ccs.db.daos,UserDao,36,487,0,18,18,128,0,22,0,13
prattle,edu.northeastern.ccs.db.daos,MessageDao,75,899,6,20,29,222,6,23,0,16
prattle,edu.northeastern.ccs.db.daos,GroupDao,16,124,1,7,8,42,1,9,0,6
prattle,edu.northeastern.ccs.db.services,UserService,0,110,0,10,0,24,0,20,0,15
prattle,edu.northeastern.ccs.db.services,MessageService,0,224,0,24,0,60,0,26,0,14
prattle,edu.northeastern.ccs.db.services,ConnectionService,12,53,0,4,7,17,1,5,1,3
prattle,edu.northeastern.ccs.db.services,MembershipService,0,57,0,6,0,11,0,12,0,9
prattle,edu.northeastern.ccs.db.services,GroupService,0,56,0,8,0,10,0,8,0,4
prattle,edu.northeastern.ccs.im.server,Prattle,62,533,19,67,16,136,20,37,1,13
prattle,edu.northeastern.ccs.im.server,ClientRunnable,155,521,36,46,36,131,27,39,0,25
prattle,edu.northeastern.ccs.im.server,ServerConstants,3,220,0,10,1,45,1,9,1,4
prattle,edu.northeastern.ccs.im.profanityfilter,ProfanityFilter,19,256,3,21,8,60,4,15,1,6
prattle,edu.northeastern.ccs.slack,Notification,11,26,0,0,2,12,0,2,0,2
prattle,edu.northeastern.ccs.im.services,PrintService,0,63,0,4,0,12,0,3,0,1
prattle,edu.northeastern.ccs.im.services,CommandService,74,885,18,109,19,232,15,74,0,21
prattle,edu.northeastern.ccs.im,PrintNetNB,0,77,0,6,0,22,0,7,0,4
prattle,edu.northeastern.ccs.im,HashGenerator,6,43,1,3,1,11,1,3,0,2
prattle,edu.northeastern.ccs.im,Message,46,435,12,34,10,85,14,43,3,31
prattle,edu.northeastern.ccs.im,NextDoesNotExistException,0,4,0,0,0,2,0,1,0,1
prattle,edu.northeastern.ccs.im,IMConnection,9,160,0,18,3,39,1,20,1,11
prattle,edu.northeastern.ccs.im,ScanNetNB,39,237,10,20,9,60,8,14,0,7
prattle,edu.northeastern.ccs.im,IllegalOperationException,0,4,0,0,0,2,0,1,0,1
prattle,edu.northeastern.ccs.im,IllegalNameException,0,4,0,0,0,2,0,1,0,1
prattle,edu.northeastern.ccs.im,Message.MessageType,0,103,0,0,0,13,0,3,0,3
prattle,edu.northeastern.ccs.im,SocketNB,35,153,11,13,6,42,9,10,0,7
